
File: /tmp/RD75/lib/rdr_lib/librdrcommon.a(rdr_common.o)

Symbol table '.symtab' contains 757 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
   139: 0000001c     0 NOTYPE  LOCAL  DEFAULT   87 $d
   140: 00000000     0 SECTION LOCAL  DEFAULT   88 .text.clamp_length
   141: 00000000     0 NOTYPE  LOCAL  DEFAULT   88 $t
   142: 00000000     0 SECTION LOCAL  DEFAULT   89 .text.clamp_leng[...]
   143: 00000000     0 NOTYPE  LOCAL  DEFAULT   89 $t
   144: 00000000     0 SECTION LOCAL  DEFAULT   90 .text.eeprom_dri[...]
   145: 00000000     0 NOTYPE  LOCAL  DEFAULT   90 $t
   146: 00000014     0 NOTYPE  LOCAL  DEFAULT   90 $d
   147: 00000000  1218 OBJECT  LOCAL  DEFAULT  270 g_es_flash_eepro[...]
   148: 00000000     0 SECTION LOCAL  DEFAULT   92 .text.eeprom_dri[...]
   149: 00000000     0 NOTYPE  LOCAL  DEFAULT   92 $t
   150: 000001d8     0 NOTYPE  LOCAL  DEFAULT   92 $d
   151: 00000000     0 SECTION LOCAL  DEFAULT   94 .text.eeprom_rea[...]
   152: 00000000     0 NOTYPE  LOCAL  DEFAULT   94 $t
   153: 00000030     0 NOTYPE  LOCAL  DEFAULT   94 $d
   154: 00000000     0 SECTION LOCAL  DEFAULT   96 .text.eeprom_wri[...]
   155: 00000000     0 NOTYPE  LOCAL  DEFAULT   96 $t
   156: 0000011c     0 NOTYPE  LOCAL  DEFAULT   96 $d
   157: 00000000     0 SECTION LOCAL  DEFAULT   98 .text.eeprom_rea[...]
   158: 00000000     0 NOTYPE  LOCAL  DEFAULT   98 $t
   159: 00000038     0 NOTYPE  LOCAL  DEFAULT   98 $d
   160: 00000000     0 SECTION LOCAL  DEFAULT  100 .text.Init_Keybo[...]
   161: 00000000     0 NOTYPE  LOCAL  DEFAULT  100 $t
   162: 000000d0     0 NOTYPE  LOCAL  DEFAULT  100 $d
   163: 00000000     0 SECTION LOCAL  DEFAULT  102 .text.eeprom_wri[...]
   164: 00000000     0 NOTYPE  LOCAL  DEFAULT  102 $t
   165: 0000007c     0 NOTYPE  LOCAL  DEFAULT  102 $d
   166: 00000000     0 SECTION LOCAL  DEFAULT  104 .text.encoder_wa[...]
   167: 00000000     0 NOTYPE  LOCAL  DEFAULT  104 $t
   168: 00000000     0 SECTION LOCAL  DEFAULT  106 .text.encoder_qu[...]
   169: 00000000     0 NOTYPE  LOCAL  DEFAULT  106 $t
   170: 00000020     0 NOTYPE  LOCAL  DEFAULT  106 $d
   171: 00000000     0 SECTION LOCAL  DEFAULT  108 .text.encoder_qu[...]
   172: 00000000     0 NOTYPE  LOCAL  DEFAULT  108 $t
   173: 0000001c     0 NOTYPE  LOCAL  DEFAULT  108 $d
   174: 00000000     0 SECTION LOCAL  DEFAULT  109 .text.encoder_qu[...]
   175: 00000000     0 NOTYPE  LOCAL  DEFAULT  109 $t
   176: 00000000     0 SECTION LOCAL  DEFAULT  110 .text.encoder_qu[...]
   177: 00000000     0 NOTYPE  LOCAL  DEFAULT  110 $t
   178: 00000054     0 NOTYPE  LOCAL  DEFAULT  110 $d
   179: 00000000     0 SECTION LOCAL  DEFAULT  112 .text.encoder_dr[...]
   180: 00000000     0 NOTYPE  LOCAL  DEFAULT  112 $t
   181: 00000010     0 NOTYPE  LOCAL  DEFAULT  112 $d
   182: 00000000     0 SECTION LOCAL  DEFAULT  114 .text.encoder_qu[...]
   183: 00000000     0 NOTYPE  LOCAL  DEFAULT  114 $t
   184: 00000060     0 NOTYPE  LOCAL  DEFAULT  114 $d
   185: 00000000     0 SECTION LOCAL  DEFAULT  116 .text.encoder_dr[...]
   186: 00000000     0 NOTYPE  LOCAL  DEFAULT  116 $t
   187: 00000030     0 NOTYPE  LOCAL  DEFAULT  116 $d
   188: 00000000     0 SECTION LOCAL  DEFAULT  118 .text.User_Adc_Init
   189: 00000000     0 NOTYPE  LOCAL  DEFAULT  118 $t
   190: 00000078     0 NOTYPE  LOCAL  DEFAULT  118 $d
   191: 00000000     0 SECTION LOCAL  DEFAULT  120 .text.User_Adc_Deinit
   192: 00000000     0 NOTYPE  LOCAL  DEFAULT  120 $t
   193: 0000001c     0 NOTYPE  LOCAL  DEFAULT  120 $d
   194: 00000000     0 SECTION LOCAL  DEFAULT  121 .text.U16_Buff_Clear
   195: 00000000     0 NOTYPE  LOCAL  DEFAULT  121 $t
   196: 00000000     0 SECTION LOCAL  DEFAULT  123 .text.Init_Batt_[...]
   197: 00000000     0 NOTYPE  LOCAL  DEFAULT  123 $t
   198: 00000054     0 NOTYPE  LOCAL  DEFAULT  123 $d
   199: 00000000     0 SECTION LOCAL  DEFAULT  125 .text.User_Adc_B[...]
   200: 00000000     0 NOTYPE  LOCAL  DEFAULT  125 $t
   201: 000000e0     0 NOTYPE  LOCAL  DEFAULT  125 $d
   202: 00000000     0 SECTION LOCAL  DEFAULT  127 .text.User_Adc_B[...]
   203: 00000000     0 NOTYPE  LOCAL  DEFAULT  127 $t
   204: 000001a4     0 NOTYPE  LOCAL  DEFAULT  127 $d
   205: 00000000     0 SECTION LOCAL  DEFAULT  129 .text.User_Pwm_Deinit
   206: 00000000     0 NOTYPE  LOCAL  DEFAULT  129 $t
   207: 00000044     0 NOTYPE  LOCAL  DEFAULT  129 $d
   208: 00000000     0 SECTION LOCAL  DEFAULT  131 .text.rgb_matrix[...]
   209: 00000000     0 NOTYPE  LOCAL  DEFAULT  131 $t
   210: 000000b8     0 NOTYPE  LOCAL  DEFAULT  131 $d
   211: 00000000     0 SECTION LOCAL  DEFAULT  133 .text.rgb_matrix[...]
   212: 00000000     0 NOTYPE  LOCAL  DEFAULT  133 $t
   213: 0000001c     0 NOTYPE  LOCAL  DEFAULT  133 $d
   214: 00000000     0 SECTION LOCAL  DEFAULT  135 .text.Led_Power_[...]
   215: 00000000     0 NOTYPE  LOCAL  DEFAULT  135 $t
   216: 00000054     0 NOTYPE  LOCAL  DEFAULT  135 $d
   217: 00000000     0 SECTION LOCAL  DEFAULT  137 .text.Led_Rf_Mod[...]
   218: 00000000     0 NOTYPE  LOCAL  DEFAULT  137 $t
   219: 000000c8     0 NOTYPE  LOCAL  DEFAULT  137 $d
   220: 00000000     0 SECTION LOCAL  DEFAULT  139 .text.Led_Batt_N[...]
   221: 00000000     0 NOTYPE  LOCAL  DEFAULT  139 $t
   222: 000000b8     0 NOTYPE  LOCAL  DEFAULT  139 $d
   223: 00000000     0 SECTION LOCAL  DEFAULT  141 .text.Led_Point_[...]
   224: 00000000     0 NOTYPE  LOCAL  DEFAULT  141 $t
   225: 00000078     0 NOTYPE  LOCAL  DEFAULT  141 $d
   226: 00000000     0 SECTION LOCAL  DEFAULT  143 .text.User_Test_[...]
   227: 00000000     0 NOTYPE  LOCAL  DEFAULT  143 $t
   228: 00000024     0 NOTYPE  LOCAL  DEFAULT  143 $d
   229: 00000000     0 SECTION LOCAL  DEFAULT  145 .text.Logo_Init
   230: 00000000     0 NOTYPE  LOCAL  DEFAULT  145 $t
   231: 00000030     0 NOTYPE  LOCAL  DEFAULT  145 $d
   232: 00000000     0 SECTION LOCAL  DEFAULT  147 .text.User_Keybo[...]
   233: 00000000     0 NOTYPE  LOCAL  DEFAULT  147 $t
   234: 0000003c     0 NOTYPE  LOCAL  DEFAULT  147 $d
   235: 00000000     0 SECTION LOCAL  DEFAULT  149 .text.Board_Wake[...]
   236: 00000000     0 NOTYPE  LOCAL  DEFAULT  149 $t
   237: 00000090     0 NOTYPE  LOCAL  DEFAULT  149 $d
   238: 00000000     0 SECTION LOCAL  DEFAULT  151 .text.es_chibios[...]
   239: 00000000     0 NOTYPE  LOCAL  DEFAULT  151 $t
   240: 0000003c     0 NOTYPE  LOCAL  DEFAULT  151 $d
   241: 00000054     0 NOTYPE  LOCAL  DEFAULT  151 $t
   242: 000003f4     0 NOTYPE  LOCAL  DEFAULT  151 $d
   243: 0000046c     0 NOTYPE  LOCAL  DEFAULT  151 $t
   244: 00000554     0 NOTYPE  LOCAL  DEFAULT  151 $d
   245: 00000000     0 SECTION LOCAL  DEFAULT  153 .text.User_Keybo[...]
   246: 00000000     0 NOTYPE  LOCAL  DEFAULT  153 $t
   247: 00000080     0 NOTYPE  LOCAL  DEFAULT  153 $d
   248: 00000000     0 SECTION LOCAL  DEFAULT  155 .text.Logo_Pwm_R[...]
   249: 00000000     0 NOTYPE  LOCAL  DEFAULT  155 $t
   250: 0000002c     0 NOTYPE  LOCAL  DEFAULT  155 $d
   251: 00000000     0 SECTION LOCAL  DEFAULT  157 .text.Logo_Pwm_D[...]
   252: 00000000     0 NOTYPE  LOCAL  DEFAULT  157 $t
   253: 0000003c     0 NOTYPE  LOCAL  DEFAULT  157 $d
   254: 00000000     0 SECTION LOCAL  DEFAULT  159 .text.Logo_Wave_[...]
   255: 00000000     0 NOTYPE  LOCAL  DEFAULT  159 $t
   256: 00000070     0 NOTYPE  LOCAL  DEFAULT  159 $d
   257: 00000000     0 SECTION LOCAL  DEFAULT  161 .text.Logo_Wave_[...]
   258: 00000000     0 NOTYPE  LOCAL  DEFAULT  161 $t
   259: 00000074     0 NOTYPE  LOCAL  DEFAULT  161 $d
   260: 00000000     0 SECTION LOCAL  DEFAULT  163 .text.Logo_Spect[...]
   261: 00000000     0 NOTYPE  LOCAL  DEFAULT  163 $t
   262: 00000060     0 NOTYPE  LOCAL  DEFAULT  163 $d
   263: 00000000     0 SECTION LOCAL  DEFAULT  165 .text.Logo_Breat[...]
   264: 00000000     0 NOTYPE  LOCAL  DEFAULT  165 $t
   265: 00000064     0 NOTYPE  LOCAL  DEFAULT  165 $d
   266: 00000000     0 SECTION LOCAL  DEFAULT  167 .text.Logo_Light[...]
   267: 00000000     0 NOTYPE  LOCAL  DEFAULT  167 $t
   268: 00000040     0 NOTYPE  LOCAL  DEFAULT  167 $d
   269: 00000000     0 SECTION LOCAL  DEFAULT  169 .text.Logo_Off_m[...]
   270: 00000000     0 NOTYPE  LOCAL  DEFAULT  169 $t
   271: 0000001c     0 NOTYPE  LOCAL  DEFAULT  169 $d
   272: 00000000     0 SECTION LOCAL  DEFAULT  171 .text.Logo_Mode_Show
   273: 00000000     0 NOTYPE  LOCAL  DEFAULT  171 $t
   274: 0000001c     0 NOTYPE  LOCAL  DEFAULT  171 $d
   275: 00000040     0 NOTYPE  LOCAL  DEFAULT  171 $d
   276: 00000000     0 SECTION LOCAL  DEFAULT  173 .text.User_Point_Show
   277: 00000000     0 NOTYPE  LOCAL  DEFAULT  173 $t
   278: 00000040     0 NOTYPE  LOCAL  DEFAULT  173 $d
   279: 00000000     0 SECTION LOCAL  DEFAULT  175 .text.User_Led_Show
   280: 00000000     0 NOTYPE  LOCAL  DEFAULT  175 $t
   281: 000000ac     0 NOTYPE  LOCAL  DEFAULT  175 $d
   282: 00000000     0 SECTION LOCAL  DEFAULT  177 .text.User_Via_Q[...]
   283: 00000000     0 NOTYPE  LOCAL  DEFAULT  177 $t
   284: 00000012     0 NOTYPE  LOCAL  DEFAULT  177 $d
   285: 00000016     0 NOTYPE  LOCAL  DEFAULT  177 $t
   286: 00000030     0 NOTYPE  LOCAL  DEFAULT  177 $d
   287: 00000000     0 SECTION LOCAL  DEFAULT  179 .text.User_Via_Q[...]
   288: 00000000     0 NOTYPE  LOCAL  DEFAULT  179 $t
   289: 00000014     0 NOTYPE  LOCAL  DEFAULT  179 $d
   290: 00000018     0 NOTYPE  LOCAL  DEFAULT  179 $t
   291: 0000005c     0 NOTYPE  LOCAL  DEFAULT  179 $d
   292: 00000000     0 SECTION LOCAL  DEFAULT  181 .text.User_Via_Q[...]
   293: 00000000     0 NOTYPE  LOCAL  DEFAULT  181 $t
   294: 00000000     0 SECTION LOCAL  DEFAULT  183 .text.Vector4C
   295: 00000000     0 NOTYPE  LOCAL  DEFAULT  183 $t
   296: 0000001c     0 NOTYPE  LOCAL  DEFAULT  183 $d
   297: 00000000     0 SECTION LOCAL  DEFAULT  184 .text.Vector54
   298: 00000000     0 NOTYPE  LOCAL  DEFAULT  184 $t
   299: 00000010     0 NOTYPE  LOCAL  DEFAULT  184 $d
   300: 00000000     0 SECTION LOCAL  DEFAULT  186 .text.Vector58
   301: 00000000     0 NOTYPE  LOCAL  DEFAULT  186 $t
   302: 00000000     0 SECTION LOCAL  DEFAULT  188 .text.Vector7C
   303: 00000000     0 NOTYPE  LOCAL  DEFAULT  188 $t
   304: 00000000     0 SECTION LOCAL  DEFAULT  190 .text.Vector80
   305: 00000000     0 NOTYPE  LOCAL  DEFAULT  190 $t
   306: 00000010     0 NOTYPE  LOCAL  DEFAULT  190 $d
   307: 00000000     0 SECTION LOCAL  DEFAULT  192 .text.Vector84
   308: 00000000     0 NOTYPE  LOCAL  DEFAULT  192 $t
   309: 00000010     0 NOTYPE  LOCAL  DEFAULT  192 $d
   310: 00000000     0 SECTION LOCAL  DEFAULT  194 .text.Vector68
   311: 00000000     0 NOTYPE  LOCAL  DEFAULT  194 $t
   312: 00000010     0 NOTYPE  LOCAL  DEFAULT  194 $d
   313: 00000000     0 SECTION LOCAL  DEFAULT  196 .text.Vector5C
   314: 00000000     0 NOTYPE  LOCAL  DEFAULT  196 $t
   315: 000000b8     0 NOTYPE  LOCAL  DEFAULT  196 $d
   316: 00000000     0 SECTION LOCAL  DEFAULT  198 .text.Vector78
   317: 00000000     0 NOTYPE  LOCAL  DEFAULT  198 $t
   318: 0000029c     0 NOTYPE  LOCAL  DEFAULT  198 $d
   319: 0000032c     0 NOTYPE  LOCAL  DEFAULT  198 $t
   320: 00000470     0 NOTYPE  LOCAL  DEFAULT  198 $d
   321: 00000000     0 SECTION LOCAL  DEFAULT  200 .rodata
   322: 00000000     0 NOTYPE  LOCAL  DEFAULT  200 $d
   323: 00000000     0 SECTION LOCAL  DEFAULT  201 .bss.Batt_Led_Count
   324: 00000000     0 NOTYPE  LOCAL  DEFAULT  201 $d
   325: 00000000     0 SECTION LOCAL  DEFAULT  202 .bss.Ble_Name_Sp[...]
   326: 00000000     0 NOTYPE  LOCAL  DEFAULT  202 $d
   327: 00000000     0 SECTION LOCAL  DEFAULT  203 .bss.DMA_list
   328: 00000000     0 NOTYPE  LOCAL  DEFAULT  203 $d
   329: 00000000     0 SECTION LOCAL  DEFAULT  204 .bss.Emi_Test_Start
   330: 00000000     0 NOTYPE  LOCAL  DEFAULT  204 $d
   331: 00000000     0 SECTION LOCAL  DEFAULT  205 .bss.Func_Time_3[...]
   332: 00000000     0 NOTYPE  LOCAL  DEFAULT  205 $d
   333: 00000000     0 SECTION LOCAL  DEFAULT  206 .bss.Init_Spi_10[...]
   334: 00000000     0 NOTYPE  LOCAL  DEFAULT  206 $d
   335: 00000000     0 SECTION LOCAL  DEFAULT  207 .bss.Key_2p4g_Status
   336: 00000000     0 NOTYPE  LOCAL  DEFAULT  207 $d
   337: 00000000     0 SECTION LOCAL  DEFAULT  208 .bss.Key_Ble_1_Status
   338: 00000000     0 NOTYPE  LOCAL  DEFAULT  208 $d
   339: 00000000     0 SECTION LOCAL  DEFAULT  209 .bss.Key_Ble_2_Status
   340: 00000000     0 NOTYPE  LOCAL  DEFAULT  209 $d
   341: 00000000     0 SECTION LOCAL  DEFAULT  210 .bss.Key_Ble_3_Status
   342: 00000000     0 NOTYPE  LOCAL  DEFAULT  210 $d
   343: 00000000     0 SECTION LOCAL  DEFAULT  211 .bss.Key_Fn_Status
   344: 00000000     0 NOTYPE  LOCAL  DEFAULT  211 $d
   345: 00000000     0 SECTION LOCAL  DEFAULT  212 .bss.Key_Reset_Status
   346: 00000000     0 NOTYPE  LOCAL  DEFAULT  212 $d
   347: 00000000     0 SECTION LOCAL  DEFAULT  213 .bss.Keyboard_Reset
   348: 00000000     0 NOTYPE  LOCAL  DEFAULT  213 $d
   349: 00000000     0 SECTION LOCAL  DEFAULT  214 .bss.Keyboard_Status
   350: 00000000     0 NOTYPE  LOCAL  DEFAULT  214 $d
   351: 00000000     0 SECTION LOCAL  DEFAULT  215 .bss.Led_Flash_Busy
   352: 00000000     0 NOTYPE  LOCAL  DEFAULT  215 $d
   353: 00000000     0 SECTION LOCAL  DEFAULT  216 .bss.Led_Off_Start
   354: 00000000     0 NOTYPE  LOCAL  DEFAULT  216 $d
   355: 00000000     0 SECTION LOCAL  DEFAULT  217 .bss.Led_Point_Count
   356: 00000000     0 NOTYPE  LOCAL  DEFAULT  217 $d
   357: 00000000     0 SECTION LOCAL  DEFAULT  218 .bss.Led_Power_Up
   358: 00000000     0 NOTYPE  LOCAL  DEFAULT  218 $d
   359: 00000000     0 SECTION LOCAL  DEFAULT  219 .bss.Led_Power_U[...]
   360: 00000000     0 NOTYPE  LOCAL  DEFAULT  219 $d
   361: 00000000     0 SECTION LOCAL  DEFAULT  220 .bss.Led_Rf_Pair_Flg
