
File: lib/rdr_lib/librdrcommon.a(rdr_common.o)

Symbol table '.symtab' contains 1009 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
   275: 00000000     0 SECTION LOCAL  DEFAULT  176 .text.User_Keybo[...]
   276: 00000000     0 NOTYPE  LOCAL  DEFAULT  176 $t
   277: 000000bc     0 NOTYPE  LOCAL  DEFAULT  176 $d
   278: 00000000     0 SECTION LOCAL  DEFAULT  178 .text.User_Pwm_Deinit
   279: 00000000     0 NOTYPE  LOCAL  DEFAULT  178 $t
   280: 00000044     0 NOTYPE  LOCAL  DEFAULT  178 $d
   281: 00000000     0 SECTION LOCAL  DEFAULT  180 .text.es_chibios[...]
   282: 00000000     0 NOTYPE  LOCAL  DEFAULT  180 $t
   283: 0000003c     0 NOTYPE  LOCAL  DEFAULT  180 $d
   284: 00000054     0 NOTYPE  LOCAL  DEFAULT  180 $t
   285: 000003ec     0 NOTYPE  LOCAL  DEFAULT  180 $d
   286: 0000046c     0 NOTYPE  LOCAL  DEFAULT  180 $t
   287: 000005b4     0 NOTYPE  LOCAL  DEFAULT  180 $d
   288: 00000000     0 SECTION LOCAL  DEFAULT  182 .text.rgb_matrix[...]
   289: 00000000     0 NOTYPE  LOCAL  DEFAULT  182 $t
   290: 000000dc     0 NOTYPE  LOCAL  DEFAULT  182 $d
   291: 00000000     0 SECTION LOCAL  DEFAULT  184 .text.rgb_matrix[...]
   292: 00000000     0 NOTYPE  LOCAL  DEFAULT  184 $t
   293: 0000001c     0 NOTYPE  LOCAL  DEFAULT  184 $d
   294: 00000000     0 SECTION LOCAL  DEFAULT  186 .text.Led_Power_[...]
   295: 00000000     0 NOTYPE  LOCAL  DEFAULT  186 $t
   296: 00000040     0 NOTYPE  LOCAL  DEFAULT  186 $d
   297: 00000000     0 SECTION LOCAL  DEFAULT  188 .text.Led_Rf_Mod[...]
   298: 00000000     0 NOTYPE  LOCAL  DEFAULT  188 $t
   299: 000000cc     0 NOTYPE  LOCAL  DEFAULT  188 $d
   300: 00000000     0 SECTION LOCAL  DEFAULT  190 .text.Led_Batt_N[...]
   301: 00000000     0 NOTYPE  LOCAL  DEFAULT  190 $t
   302: 000000d0     0 NOTYPE  LOCAL  DEFAULT  190 $d
   303: 00000000     0 SECTION LOCAL  DEFAULT  192 .text.Led_Point_[...]
   304: 00000000     0 NOTYPE  LOCAL  DEFAULT  192 $t
   305: 00000150     0 NOTYPE  LOCAL  DEFAULT  192 $d
   306: 00000000     0 SECTION LOCAL  DEFAULT  194 .text.User_Test_[...]
   307: 00000000     0 NOTYPE  LOCAL  DEFAULT  194 $t
   308: 00000024     0 NOTYPE  LOCAL  DEFAULT  194 $d
   309: 00000000     0 SECTION LOCAL  DEFAULT  196 .text.User_Get_L[...]
   310: 00000000     0 NOTYPE  LOCAL  DEFAULT  196 $t
   311: 00000038     0 NOTYPE  LOCAL  DEFAULT  196 $d
   312: 00000000     0 SECTION LOCAL  DEFAULT  198 .text.User_Led_Show
   313: 00000000     0 NOTYPE  LOCAL  DEFAULT  198 $t
   314: 000001a4     0 NOTYPE  LOCAL  DEFAULT  198 $d
   315: 00000000     0 SECTION LOCAL  DEFAULT  200 .text.Vector4C
   316: 00000000     0 NOTYPE  LOCAL  DEFAULT  200 $t
   317: 0000001c     0 NOTYPE  LOCAL  DEFAULT  200 $d
   318: 00000000     0 SECTION LOCAL  DEFAULT  201 .text.Vector54
   319: 00000000     0 NOTYPE  LOCAL  DEFAULT  201 $t
   320: 00000010     0 NOTYPE  LOCAL  DEFAULT  201 $d
   321: 00000000     0 SECTION LOCAL  DEFAULT  203 .text.Vector58
   322: 00000000     0 NOTYPE  LOCAL  DEFAULT  203 $t
   323: 00000000     0 SECTION LOCAL  DEFAULT  205 .text.Vector7C
   324: 00000000     0 NOTYPE  LOCAL  DEFAULT  205 $t
   325: 00000000     0 SECTION LOCAL  DEFAULT  207 .text.Vector80
   326: 00000000     0 NOTYPE  LOCAL  DEFAULT  207 $t
   327: 00000010     0 NOTYPE  LOCAL  DEFAULT  207 $d
   328: 00000000     0 SECTION LOCAL  DEFAULT  209 .text.Vector84
   329: 00000000     0 NOTYPE  LOCAL  DEFAULT  209 $t
